CategoryName,GeneralCategory
Grunge,Music
Electro Swing,Music
Ambient,Music
Hardcore,Music
Gospel,Music
Psytrance,Music
Jazz Fusion,Music
LoFi Hip Hop,Music
New Wave,Music
Opera Rock,Music
Kuantum Bilgisayar,Technology
Bulut Bilisim,Technology
Siber Fizik,Technology
Veri Guvenligi,Technology
Otomasyon Sistemleri,Technology
Yapay Zeka Algoritmalari,Technology
Robotik Prototip,Technology
Blok Zincir Uygulamalari,Technology
Metaverse Platformlari,Technology
Veri Analitigi,Technology
Mobil Oyun Gelistirme,Technology
Oyun Motorlari,Technology
Endustri 4,Technology
Nesnelerin Interneti,Technology
Bilgi Yonetimi,Technology
Sanal Gerceklik,Technology
Yazilim Testi,Technology
Ag Guvenligi,Technology
Programlama Dilleri,Technology
Veri Bilimi Projeleri,Technology
Molekuler Gastronomi,FoodAndDrink
Vegan Mutfagi,FoodAndDrink
Sarap Kulturu,FoodAndDrink
Yerel Tatlar,FoodAndDrink
Cay Kulturu,FoodAndDrink
Sokak Yemekleri,FoodAndDrink
Kahve Demleme,FoodAndDrink
Ev Yapimi Receller,FoodAndDrink
Glutensiz Tatlilar,FoodAndDrink
Tursu Yapimi,FoodAndDrink
Deniz Urunleri,FoodAndDrink
Organik Tarim,FoodAndDrink
Fermente Gidalar,FoodAndDrink
Tatli Sanati,FoodAndDrink
Barista Teknikleri,FoodAndDrink
Et Yemekleri,FoodAndDrink
Baharat Karisimlari,FoodAndDrink
Fast Food Trendleri,FoodAndDrink
Kahvalti Kulturu,FoodAndDrink
Gastronomi Turlari,FoodAndDrink
Grafik Tasarim,ArtAndCulture
Heykel Sanati,ArtAndCulture
Kaligrafi,ArtAndCulture
Tarih Arastirmalari,ArtAndCulture
Sokak Sanati,ArtAndCulture
Cagdas Sanat,ArtAndCulture
Mimari Tasarim,ArtAndCulture
El Sanatlari,ArtAndCulture
Fotografcilik Teknikleri,ArtAndCulture
Modern Dans,ArtAndCulture
Kukla Tiyatrosu,ArtAndCulture
Edebiyat Elestirisi,ArtAndCulture
Moda Tarihi,ArtAndCulture
Halk Danslari,ArtAndCulture
Opera Performansi,ArtAndCulture
Film Analizi,ArtAndCulture
Ressamlik,ArtAndCulture
Seramik Sanati,ArtAndCulture
Belgesel Film,ArtAndCulture
Dijital Sanat,ArtAndCulture
Sanal Gerçeklik Oyunları, Technology
Biyoteknoloji Yenilikleri, Technology
Dijital Sağlık Takip Cihazları, HealthAndWellness
Gluten Sensitivitesi Tarifleri, FoodAndDrink
Kadim Yoga Teknikleri, HealthAndWellness
Eko-Turizm Rotaları, Travel
Dijital Fotoğrafçılık Teknikleri, ArtAndCulture
Klasik Caz Müzik Tarihi, Music
Sokak Basketbolu Taktikleri, Sports
Sürdürülebilir Moda Tasarımı, ArtAndCulture
Kapsayıcı Eğitim Metotları, Education
Mobil Uygulama Geliştirme, Technology
Fermente Gıda Üretimi, FoodAndDrink
Uzayda Tarım ve Beslenme, Technology
Zihin Haritası Oluşturma Teknikleri, Education
Fizyoterapi ve Rehabilitasyon, HealthAndWellness
Efsanevi Film Müzikleri, Music
Doğa Yürüyüşü ve Sağlık, HealthAndWellness
Kültürel Mirasın Korunması, ArtAndCulture
Ekstrem Spor Güvenlik Protokolleri, Sports
Yerel Lezzet Festivalleri, FoodAndDrink
Dijital Sanat ve NFT’ler, ArtAndCulture
Sporcu Beslenme Programları, HealthAndWellness
Online Dil Öğrenme Platformları, Education
Yapay Zeka Etiği ve Hukuku, Technology
Geleneksel Türk Müziği, Music
Çevre Dostu Seyahat Prensipleri, Travel
Okul Öncesi Yaratıcı Drama, Education
Organik Tarım Teknikleri, FoodAndDrink
Plaj Voleybolu Antrenmanları, Sports
Meditasyon ve Nefes Teknikleri, HealthAndWellness
Yapay Zeka Destekli Sanat Eserleri, ArtAndCulture
Kentsel Bisiklet Yolları, Travel
Dagcilik,Sports
Bisiklet Yarisi,Sports
Yelken,Sports
Atletizm,Sports
Masa Tenisi,Sports
Boks,Sports
Kano,Sports
Dalis,Sports
Kayak,Sports
Yuzme,Sports
Fitness Programlari,Sports
Yoga Egitimi,Sports
Pilates,Sports
Tenis Turnuvasi,Sports
Kampcilik,Sports
Okculuk,Sports
Sporcu Beslenmesi,Sports
Kosu Maratonu,Sports
Motor Sporlari,Sports
Voleybol,Sports
Sirt Cantali Seyahat,Travel
Ekoturizm,Travel
Kulturel Turlar,Travel
Sanat Gezileri,Travel
Macera Seyahati,Travel
Gurme Turizm,Travel
Tarih Turizmi,Travel
Kamp Ve Karavan,Travel
Deniz Turizmi,Travel
Sehir Turlari,Travel
Dag Yuruyusu,Travel
Foto Safari,Travel
Festival Turlari,Travel
Yurtdisi Deneyimleri,Travel
Yerel Lezzet Turlari,Travel
Eko Lodglar,Travel
Spor Turizmi,Travel
Bisiklet Turlari,Travel
Luks Seyahat,Travel
Kultur Mirası Gezileri,Travel
Uzaktan Egitim,Education
Liderlik Egitimi,Education
STEM Programlari,Education
Egitim Teknolojileri,Education
Akademik Yazim,Education
Cocuk Gelisimi,Education
Universite Hazirlik,Education
Sinav Stratejileri,Education
Dil Ogrenimi,Education
Ogrenme Psikolojisi,Education
Mesleki Egitim,Education
Disiplinlerarasi Egitim,Education
Erken Cocukluk Egitimi,Education
Sertifika Programlari,Education
Elestirel Dusunme,Education
Mentorluk Programlari,Education
Kariyer Planlama,Education
Egitim Sosyolojisi,Education
Akademik Konferanslar,Education
Ogrenci Koclugu,Education
Yoga Meditasyonu,HealthAndWellness
Aromaterapi,HealthAndWellness
Refleksoloji,HealthAndWellness
Bitkisel Tedavi,HealthAndWellness
Saglikli Beslenme,HealthAndWellness
Nefes Egzersizleri,HealthAndWellness
Mental Saglik,HealthAndWellness
Fiziksel Rehabilitasyon,HealthAndWellness
Kisisel Gelisim,HealthAndWellness
Alternatif Tip,HealthAndWellness
Kriyoterapi,HealthAndWellness
Sporcu Rehabilitasyonu,HealthAndWellness
Stres Yonetimi,HealthAndWellness
Biyoenerji,HealthAndWellness
Detoks Programlari,HealthAndWellness
Uyku Hijyeni,HealthAndWellness
Kadin Sagligi,HealthAndWellness
Meditasyon Teknikleri,HealthAndWellness
Sifa Sanati,HealthAndWellness
Zihin Beden Baglantisi,HealthAndWellness
Girişimcilik,Other
Pazarlama Stratejileri,Other
Sosyal Sorumluluk,Other
Iklim Degişikligi,Other
Kriz Yonetimi,Other
Kulturel Farkindalik,Other
Bireysel Finans,Other
Teknoloji Etigi,Other
Toplumsal Cinsiyet,Other
Toplum Hizmeti,Other
Gonulluluk,Other
Finansal Okuryazarlik,Other
Medya Analizi,Other
Hukuk Reformu,Other
Gayrimenkul Yatirimi,Other
Sosyal Bilimler Arastirmalari,Other
Veri Gizliligi,Other
Dijital Donusum,Other
Kariyer Gelisimi,Other
Kulturel Politikalar,Other
Vaporwave,Music
Synthpop,Music
New Age,Music
Neo Soul,Music
Post Punk,Music
Garage Rock,Music
Grime,Music
Shoegaze,Music
Chillstep,Music
Folk Rock,Music
Klasik Opera,Music
Emo,Music
Trap Soul,Music
Trip Hop,Music
Noise Rock,Music
Dancehall,Music
Industrial,Music
Pop Punk,Music
Britpop,Music
Post Hardcore,Music
Siber Fizik,Technology
Veri Muhendisligi,Technology
Dogal Dil Isleme,Technology
Derin Ogrenme,Technology
Bilgisayar Grafikleri,Technology
Gomulu Sistemler,Technology
Kritik Altyapilar,Technology
Yapay Sinir Aglari,Technology
Sanal Asistanlar,Technology
Yapay Goru,Technology
Oyun Fizikleri,Technology
Veri Madenciligi,Technology
Bilgi Guvenligi,Technology
Veri Depolama,Technology
Mobil Sistemler,Technology
Yazilim Mimari,Technology
Sistem Analizi,Technology
Makine Ogrenimi,Technology
Buyuk Veri,Technology
Robotik Kollaborasyon,Technology
Keto Diyet,FoodAndDrink
Yerel Tatlar,FoodAndDrink
Super Gidalar,FoodAndDrink
Tatli Susleme,FoodAndDrink
Gurme Mutfak,FoodAndDrink
Deniz Urunleri,FoodAndDrink
